Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB SWT ROLLS-BUNS,,11,-8.51,0.00,0,0,0,8,0,0,2,2,5,0,0,8,9,,,,,,,,,,,
SWEET BAKED GOODS,MRS BAIRDS SBG,MB SWT ROLLS-BUNS,MB CLUST CINN RL 6P,11,-8.51,0.00,0,0,0,8,0,0,2,2,5,0,0,8,9,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,,,4,-56.76,68.75,3,0,20,0,0,3,0,0,0,0,3,23,3,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG DONUTS,,4,100.00,68.75,3,0,20,0,0,3,0,0,0,0,3,23,3,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG DONUTS,SL GLZD DON HOLES BX,3,100.00,50.00,1,0,2,0,0,2,0,0,0,0,2,4,2,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG DONUTS,SL VAR DONUT12P BX,2,100.00,100.00,2,0,18,0,0,1,0,0,0,0,1,19,1,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG SNCK CK,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG SNCK CK,SL CHEESE CRMB 6P12,0,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG SNCK CK,SL CRUMB CAKES 6P12,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,SARA LEE FRESH SBG,SL FRESH SBG SNCK CK,SL DEVILCRM CK8P12.5,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
