Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM TRIPLE HLTH 6P11Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM WH WHEAT 6P 12Z,8,-16.22,43.01,3,0,2,0,4,0,2,2,0,3,0,6,7
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,,70,-1.63,4.50,3,0,20,0,30,11,16,10,11,24,11,61,72
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,EM REGULAR 6P/12Z,70,-1.63,4.50,3,0,20,0,30,11,16,10,11,24,11,61,72
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SAND THINS-FLAT ROLL,,,,68,-14.97,16.75,11,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,,,68,-14.97,16.75,11,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,,68,-14.97,16.75,11,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR HW SAND THIN 8P12,17,-26.55,36.63,6,0,0,0,12,12,0,0,0,12,12,24,24
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN MG 8P12,19,-18.31,18.97,4,0,0,0,0,12,0,0,0,0,12,12,12
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN WW 8P12,32,-4.55,4.76,2,0,12,0,12,12,0,12,0,12,12,36,36
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,,,,135,10.30,6.25,8,13,47,3,60,103,13,11,3,37,103,226,167
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,,,7,-42.00,17.24,1,2,0,3,2,0,2,0,3,2,0,7,7
